text,date
"frustrated with the lagging pace of vaccine campaigns at home and seeing a surplus of doses in the u.s., wealthy an…",2021-05-30 08:45:09
latin america’s covid wave prompts a spike in vaccine tourism,2021-05-30 08:00:46
"rt vaccine tourism is as if “someone loans you their car to take your mother to the hospital, and then you decide t…",2021-05-30 07:50:11
covid-19: mp tourism department organises drive in vaccine shots for all age group,2021-05-30 07:49:49
"rt techreview ""vaccine tourism is as if “someone loans you their car to take your mother to the hospital, and then…",2021-05-30 07:45:05
"""‘like a dream’: latin americans head to u.s. for covid shots"" by by ernesto londoño, daniel politi and santi carne…",2021-05-30 07:27:14
‘like a dream’: latin americans head to u.s. for covid shots by juan carlos gill ramírez  nyt &gt; world news,2021-05-30 07:06:27
"'with ref eu launching its vaccine passport, you would hope the uk is synchronising. 
great news for tourism' as eu…",2021-05-30 07:04:07
"the may issue of 'asia pacific travel &amp; tourism report' is out!🥳 
hot topics range from vaccine, sport…",2021-05-30 06:50:00
why ? what is wrong with this approach if the hotels hires trained medical staff to administer vaccine and follows…,2021-05-30 06:49:31
to prevent serious infection from covid19 and to boost immunity for the said virus. being vacc…,2021-05-30 06:48:48
"people from south america are flying to the us to get vaccinated, but i can’t &amp; i’m a us citizen 
latin america’s c…",2021-05-30 06:32:10
"can u beat this... vaccine tourism is a thing of the past, i suppose.",2021-05-30 06:15:38
tourism is happening all over europe... it's good income for all the players…,2021-05-30 06:05:09
loads of slots down here. vaccine tourism?,2021-05-30 06:04:49
"unjust hike in gas &amp; electricity bills. tourism crashed, governance failure, vaccine sold to foreign nations leavin…",2021-05-30 05:25:38
"bang on, right, asad bhai. whn vaccine can be a…",2021-05-30 05:24:31
vaccine tourists are coming to america - cnn,2021-05-30 05:15:02
‘like a dream’: latin americans head to u.s. for covid shots  taxpayers are paying for usa p…,2021-05-30 04:35:13
about a lakh vaccines are being administered everyday in b'luru but barely 2-3% update appointment…,2021-05-30 04:28:16
current precedent; most airlines and  tourism companies already mandate vac…,2021-05-30 04:16:52
"...roughly on par with similarly developed nations.
going back to the first paragrap…",2021-05-30 04:07:40
"a) half past a freckle.
b) ""when i've finished my strategic plan for the pandemic and vaccine roll-out -…",2021-05-30 03:51:49
great goa in tourism losses can be recovered with attractive measures like 100% vaccination of sta…,2021-05-30 03:48:58
"“the guy didn’t even ask what we came here to do,” mr. bojacá marveled in a subsequent scene in the video. “i had p…",2021-05-30 02:44:20
"tavis hall works to boost the local economy through travel and tourism, showcasing what the area has to offer.  he…",2021-05-30 02:40:18
"i'm soundly embarrassed for mit faculty.  mit has long been in a bubble that they forget math &amp; chem, b…",2021-05-30 02:32:02
"sorry cannot help myself - just thinking about travel, domestic tourism, closed restaurants and small businesses du…",2021-05-30 02:18:03
i’m in canada. it’s a race to protect against variants. to do that you need few gaps in your vaccine timeli…,2021-05-30 02:15:54
"centre issued guidelines to stop vaccine tourism. 

only govt/private hospitals, make shift hospitals in residentia…",2021-05-30 02:02:20
interesting article on rising vaccine tourism from latin america to the united states. it is clearly inefficient an…,2021-05-30 01:39:13
"really glad that the united states is sharing vaccines with foreign travelers, but we also need to be exporting mil…",2021-05-30 01:22:34
"korean tourists, businessmen seen to return to ph as vaccine drive gains ground



letstalkcity…",2021-05-30 01:21:59
"ron desantis isn't backing down!

florida cruise lines will not be allowed to demand proof of vaccination in order…",2021-05-30 00:28:23
"not sure if i want to cry and laugh 
 russia trip for rs 1.29 lakh with 2 sputnik v jabs, vaccine to…",2021-05-30 00:22:04
and all the travel &amp; tourism jobs lost due to snail pace vaccine rollout,2021-05-30 00:12:22
unfortunately vaccine tourism is not illegal in the us.,2021-05-30 00:04:30
"""you don't describe a vaccine rollout as a race. the melbourne cup is a race, the stawell gift is a race.""

- trade…",2021-05-29 23:41:56
is there anything more dispiriting for the multi-billion $ tourism industry and all those who work in it to listen…,2021-05-29 23:37:23
i hope that sheeple  voters see this and realise they are being conned by morri-sc…,2021-05-29 22:35:53
new developments are popping up in  as the city plans to offer tourists a  to show tourists tha…,2021-05-29 22:26:28
a…,2021-05-29 22:15:39
tories wanted to save the expense and effort of covid surpression measures just relying on the vaccine. that 'strat…,2021-05-29 21:14:43
‘like a dream’: latin americans head to u.s. for covid shots - the new york times  via,2021-05-29 21:06:34
"i know how we can get the magats to embrace the vaccine - lets tell them that the ""mexicans"" are stealing their dos…",2021-05-29 20:22:41
"frustrated by vaccine shortages at home, some wealthy travelers are coming to the us to score  vaccines. th…",2021-05-29 20:05:00
privileged latin americans in countries where the virus is taking a brutal toll have been flying to the united stat…,2021-05-29 19:07:44
"people from middle and high-income classes are travelling to usa to get their covid vaccine, since less privileged…",2021-05-29 19:04:28
"with lagging distribution at home, well-off latin americans with tourist visas are flocking to the u.s. to score co…",2021-05-29 18:45:51
they are also promoting tourism vaccine here in nyc. visit nyc and get y…,2021-05-29 18:28:22
"new york times | cost of airfares on several latin america/u.s. routes skyrockets as thousands, frustrated with the…",2021-05-29 18:15:28
woman is facing charges after  she drove through a local covid-19 vaccination sit…,2021-05-29 18:03:37
once again.  is reacting to the political optics of this hotel package based vaccine tourism. once they…,2021-05-29 18:03:04
"ok, but there's no reason it can't be vaccinated tourism rather than vaccine tourism.",2021-05-29 17:54:45
"i bet they are thousands already. especially in florida, it’s vaccine tourism on steroids now.",2021-05-29 17:50:33
i am planning to travel to serbia on 2nd june from delhi for tourism purpose and will be staying in…,2021-05-29 17:05:11
"its already here mate, as well as thousands of variants, you ain't gonna get rid of it.

people hav…",2021-05-29 16:38:37
i am planning to travel to serbia on 2nd june from delhi for tourism purpose and will be staying in bel…,2021-05-29 16:20:46
"us apparently encouraging vaccine tourism.

there are many vulnerable communities who are yet to get vaccinated in…",2021-05-29 16:19:49
what the hell is happening? none of the state governments are able to procure vaccines.  centre says vaccines can't…,2021-05-29 16:13:18
"among 12 latin americans who traveled for vaccines and were interviewed for this article, several expressed feeling…",2021-05-29 15:32:24
"""‘like a dream’: latin americans head to u.s. for covid shots"" by ernesto londoño, daniel politi and santi carneri…",2021-05-29 15:20:30
"spot on. anyway, the highest levels of transmission are in areas well away from tourism,…",2021-05-29 15:17:34
"the propaganda going on that firms, corportates, hospitality sector is arranging for vaccines or giving vaccine tou…",2021-05-29 14:33:11
new york and other major cities are encouraging vaccine tourism – but at what cost?  via,2021-05-29 14:26:39
"hey motherfucker, the rest of the world will remember forever de vaccine tourism that usa is doing...... the…",2021-05-29 14:06:02
"i missed my plane ticket to peru, and because vaccine tourism changes in flights are incredibly expensive. i'm real…",2021-05-29 14:03:51
san marino launches vaccine tourism campaign using russian covid vaccine!,2021-05-29 13:36:33
"unfortunately it's bollocks. most of the students have gone, as their exams were finished a couple of…",2021-05-29 13:27:19
this is what happens when the state is more interested than the citizen in the vaccination. in many coun…,2021-05-29 13:06:27
"yes, instead of flashing my vaccine card and spending two weeks in puglia or santorini, i’ll book a trip to austral…",2021-05-29 13:05:13
"india provided vaccine to many countries...

india shares a very c…",2021-05-29 12:23:57
"joe sir,tourism will take lot of time to recover to become normal but education; research; export +vaccine a…",2021-05-29 12:07:34
"the tourism authority of thailand has confirmed that the phuket sandbox will go ahead as planned on 1st july. 

tat…",2021-05-29 11:57:18
could this explain 4crore missing vaccines! vaccine tourism!!!,2021-05-29 11:34:14
"too good,  tourism... but should allow vaccine of their choice.. pfizer, moderna, johnson, sp…",2021-05-29 11:17:24
"if australians elect you and labor next election, can you guarantee us all pfizer /moderna by end of 2021??…",2021-05-29 10:34:10
vaccine tourism but for people of our own country 😂,2021-05-29 10:24:19
"what we indians need now is oxygen, vaccine, farmers support and unity, not  tourism, beer and central vista! facis…",2021-05-29 10:21:43
remember his track record in tourism?,2021-05-29 09:49:10
cruise ships are registered outside of the us to avoid us taxes. the v…,2021-05-29 09:48:34
"stop blaming tourists 
how do u know they are to blame ?
no wonder how tourism is struggling 
when ppl…",2021-05-29 09:35:52
"same storm, but clearly not the same boat?!  
.
.",2021-05-29 09:24:14
there’d be a huge vaccine tourism market if australians weren’t banned from leaving.,2021-05-29 09:16:43
i remember around that time the tourism ministers welcoming ukrainian tourists on holiday while kenyans &amp; health wo…,2021-05-29 08:31:17
why will i wait? vaccine tourism is on!,2021-05-29 08:15:50
i have voted for both sides in politic…,2021-05-29 07:58:34
"with vaccine tourism gaining traction, countries like greece and iceland, which declared themselves open to vaccina…",2021-05-29 07:46:44
governor still reviewing gvb’s vaccine tourism plan  via  news first,2021-05-29 07:22:38
excellent article in  tech review. states are now offering vaccines to encourage tourists. yet …,2021-05-29 07:12:17
covid-19: mp tourism department organises drive in vaccine shots for all age group | news – times of india videos,2021-05-29 06:04:02
anti science isn't just about the vaccine it's about the entire past year+ w…,2021-05-29 05:36:28
"vaccine tourism! travelling to russia, uae, america to get a covid-19 vaccine is the newest trend in the travel ind…",2021-05-29 05:33:06
came across this one. vaccine tourism for the rich? while states can't get vaccines from the manufacturer? next the…,2021-05-29 05:13:00
vaccine tourism is real 😂🙏🏼,2021-05-29 04:41:31
"a communist country russia is charging 130000 for the sputnik vaccine tourism package,…",2021-05-29 03:40:32
"hey guys, tourism players in langkawi is working on a  campaign. trying to create a safe travel bubble to…",2021-05-29 03:36:59
"if you are in india, you have very limited options to travel abroad. as of may 28, 5 countries are completely open…",2021-05-29 03:30:00
there is reason to worry. everyone is opening up around and before  and the province at 160k population continu…,2021-05-29 03:18:33
"state tourism, arts and culture minister abdul karim rahman hamzah was quoted as saying sarawak was different from…",2021-05-29 03:04:28
medical tourism is a thing so why not vaccine tourism?,2021-05-29 02:48:35
how long until we hear the gqp - who are refusing shots anyway - complain that vaccines should only be given to leg…,2021-05-29 02:38:39
i look at lsrael and see how the pfizer vaccine has basically eliminated covid to the point where th…,2021-05-29 02:29:31
interesting! what if the tourism industry takes a cue and pivots to vaccine staycations after…,2021-05-29 02:16:05
the who approved vaccines will be used for the safe tourism trave…,2021-05-29 01:42:26
as someone who loves cruising and wants to again this is infuriating.,2021-05-29 00:34:17
"the libs claim to be “better economic managers” (false on so many levels), but their mishandling of quarantine and…",2021-05-29 00:25:49
vaccine tourism in hyderabad. why the special privilege if the vaccine is free for every citizen in telangana state…,2021-05-29 00:11:49
your covid related lightbulb of the day: instead of an afterthought kind of vaccine tourism where only the 1% would…,2021-05-29 00:09:07
:  “i decided to travel because i was not sure when i was going to get the vaccine in my country.”,2021-05-28 22:10:53
jamaica tourism minister steps up lobby for vaccine equity at global tourism recovery summit,2021-05-28 22:10:22
vaccine tourism takes off as indian variant spreads through asia,2021-05-28 22:02:01
minister bartlett steps up lobby for vaccine equity at global tourism recovery summit,2021-05-28 22:00:49
"devastated by an economic recession that has disproportionately impacted the tourism industry, pacific island count…",2021-05-28 22:00:00
"and in the bustling terminals of   sees “jobs, jobs, jobs.” travel + tourism underpin the south…",2021-05-28 21:50:01
jamaica tourism minister steps up lobby for vaccine equit…,2021-05-28 21:49:04
hk should open vaccine tourism.,2021-05-28 21:46:56
"a  range of questions critical to our community, including seniors issues and support, tourism, support for student…",2021-05-28 21:43:45
bartlett steps up lobby for vaccine equity at global tourism recovery summit,2021-05-28 21:36:12
"cnn : vaccine tourists are coming to america.


via",2021-05-28 21:29:39
i hear about this: vaccine tourism.,2021-05-28 21:15:41
figure it out   vaccine doesn't allow you to travel between islands + no where to get tested in…,2021-05-28 20:53:42
"to be fair, a big portion of their economy relies on tourism. alsothey…",2021-05-28 20:03:59
a global search for vaccines fuels a different kind of tourism,2021-05-28 19:58:49
tourism minister edmund bartlett has stepped up his lobby for players in the global community to make their voices…,2021-05-28 19:52:09
so vaccine tourism is a thing now!!how come hotels &amp; private centres/hospitals have adequate stock &amp; cowin app runs…,2021-05-28 19:45:43
"you heard right, vaccine tourism is what they call it",2021-05-28 19:27:28
desantis stands by no cruise ship exemption for ‘vaccine passports…,2021-05-28 19:17:06
a reopening with mainland china would be a lifeboat for hong kong’s beleaguered tourism industry. talks seem to be…,2021-05-28 19:01:05
"vaccine tourism now!
this is what modi has done to us,  a few “holes” make money from pandemic! 
this country has b…",2021-05-28 18:48:35
bartlett has stepped up his lobby for players in the global community to make their voices heard about the issue of…,2021-05-28 18:38:42
i saw on the news earlier tonight that more groups of people are going to be included in the priority list for vacc…,2021-05-28 18:24:44
"please ask
 - minister for natural resources &amp; tourism, to remove requirement of negativ…",2021-05-28 17:57:57
"the vermont chamber, scott administration, and the swvt chamber are holding shires pop up vaccine clinics for hospi…",2021-05-28 17:11:44
such a low hanging fruit given vaccine tourism was a big thing,2021-05-28 16:44:24
well!! just like russia india has vaccine tourism packages now.,2021-05-28 16:27:19
"forget russia, even india has vaccine tourism packages now.",2021-05-28 16:05:03
they have vaccine????? vaccine tourism business. waaah.,2021-05-28 15:53:14
it's gov. desantis vs. the cdc! the florida governor threatens to fine cruise lines that require passengers to be v…,2021-05-28 15:52:12
"after a year of store closures, supply constraints, margin compression, and devastating losses in the tourism/resta…",2021-05-28 15:41:37
all of these destinations rely on tourism and folks lying or forging covid vaccine cards to go to someone else’s co…,2021-05-28 15:38:09
the vaccine tourists are flying into the us to get vaccinated. wouldn’t it be better to send the vacc…,2021-05-28 15:31:37
"amba  and h.e. mr. marco campomenosi,  mep, and a member of ep committee on transport and tour…",2021-05-28 15:19:27
"so, this vaccine tourism in/to  is a real thing. in finland you have to wait for vacc. in the city you live…",2021-05-28 15:18:01
"is vaccine tourism in us, good or bad?",2021-05-28 14:56:57
"vaccine tourism:
experience 1: when you just feel a slight pinch with the jab
experience 2: jab jab is followed by…",2021-05-28 14:49:49
the us worried about vaccine tourists. now it’s encouraging them. | mit technology review -,2021-05-28 14:47:08
tourism-dependent greece wants brussels to move faster on the eu vaccination certificate.,2021-05-28 14:39:35
"new trend now  - 'vaccine tourism' - 
must appreciate how industry is changing in these crisis times...",2021-05-28 14:36:24
milwaukee’s hospitality heroes are taking their second shot today during our hospitality vaccination day at…,2021-05-28 14:01:10
"care to update on 3v (visit, vaccine &amp; vacation) tourism policy of the government which was widely promoted in inte…",2021-05-28 13:45:52
so now what stops the domestic tourism boards to start promoting themselves as vaccine vacation !,2021-05-28 13:23:28
new york city plans to offer vaccine tourism | more on :   …,2021-05-28 13:17:02
i live on the south coast so year tourism always nice. be a nice ‘expe…,2021-05-28 13:16:29
"vaccine tourism: travel agency now offers 24-day russia trip with two sputnik-v shots 

we a…",2021-05-28 13:06:56
yet another major publication (yesterday it was the ny times) outlines the disaster that is the bolsonaro response…,2021-05-28 12:57:27
"1pm london &amp; se news: bank holiday tourism, hounslow vaccine effort, met criticised over richard okorogheye, teddin…",2021-05-28 12:50:00
"so school debate, vaccine rollout debate, lockdown debate, ltc debate, healthcare waitlist debate,…",2021-05-28 12:44:37
"no,  most likely alteration of numbers to make things seem ""fine"" right befor…",2021-05-28 12:41:35
"want to fly to russia, us for 'vaccine tourism'? read the fine print",2021-05-28 11:53:05
"seen that flyer for a trip to russia for vaccination? well, forget vaccination, right now, there are only 5 countri…",2021-05-28 11:46:04
"in mid-may, a colourful flyer started floating on social media, announcing a month-long trip to  for vaccina…",2021-05-28 11:37:59
is vaccine tourism a thing for indians? have a read.,2021-05-28 11:37:45
tánaiste leo varadkar told rté radio that delays in deliveries of the johnson &amp; johnson and astrazeneca vaccines wi…,2021-05-28 11:20:37
"tourism in scotland has been destroyed as a result of coronavirus.

fortunately there's a vaccine so it should retu…",2021-05-28 11:09:31
nz &amp; aus shut themselves in but the uk relies heavily on outside trade and outbound and i…,2021-05-28 11:03:23
": tourism frontline workers are now included in the government’s to priority list for vaccination, al…",2021-05-28 10:55:13
"✈️  ""the uk has led the world with our vaccine rollout, and for our beleaguered travel and tourism sector, it’s hig…",2021-05-28 10:49:46
so jacinda with a huge majority can’t make decisions for herself and judith collins has a…,2021-05-28 10:47:05
some american cities and states are encouraging vaccine tourism.,2021-05-28 10:29:51
"... meanwhile, from the land of better science classes.",2021-05-28 09:51:21
"yespali ko  le donations ma matrai bhar na pari primarily vaccine, health, education, tourism/hospitality  i…",2021-05-28 09:12:54
‘eu vaccine ‘passport’ roll-out likely before summer’ - a scheme to re-ignite  and  sector across eu…,2021-05-28 09:11:03
tourism frontliners now included in a1 vaccine priority group — dot,2021-05-28 09:10:47
malta latest travel updates by tourism malta | which vaccine is approved by malta ? latest update: malta tourism :…,2021-05-28 08:28:47
"sunshine coast tourism operators have been dealt another blow, with queensland slamming shut its borders to victori…",2021-05-28 08:12:54
the malaysian association of private hospitals (aphm) is requesting the government to create a globally recognised…,2021-05-28 08:05:16
"perhaps hospitality and tourism workers, should be included in the 1b vaccine. thus to bene…",2021-05-28 07:53:14
rt some american cities and states with a surplus of vaccines are helping foreign travelers get their shots to help…,2021-05-28 07:49:48
"rt techreview ""some american cities and states with a surplus of vaccines are helping foreign travelers get their s…",2021-05-28 07:45:18
