text,sentiment
i'm still in bed and on the laptop ...yep borin !!!,0
Looking forward to the new week with the presentation of my book in a store in Dillingen today and some interesting sales seminars,1
just watched JONAS. It was funny.,1
@damohopo Come to Rochester with me and Nikki. Beer and a Hog Roast always helps.,1
@snedwan Mooooooooornin'  How are you? Are your legs ok?,0
@mariekehardy this will make you feel better. Will down a cocktail or 2 in your honour. Now get retorting  http://twitpic.com/4j91r,1
badminton marathon tonight!  please cooperate feet!,0
watching a movie and rocking my baby kitty who is asleep in my sling hanging from my neck. So cute,1
@PeopleBrowsr nice new profile picture! Glad to see some friends in there,1
"@DavidArchie  AWOOOOGAHHHHHH!!!! heheee hope you get some decently priced breakfast real quick, David",1
morning everyone! another dat of school,0
"@erickaxx it would hurt only when you touch it or when it gets hit. But when you don't, it won't  but after a month it wouldn't hurt na!",-1
Just ordered an ASUS Eee PC.,0
@smeykunz  *shrugs* So do I but it was too funny plus you know you enjoyed it Tweet Whore ..   Love you..,1
@farrahdy take a medicine,0
@Rove1974 heyy,0
@Meghaaa lol. sounds like don't call me babe  have done that too !! have you thought that over ?,0
@ginny9577 I'm researching NYC stuff.,0
goin' to casa milan's club house...,0
Morning.. Coffee and fresh air,1
@MaheshKukreja Welcome!,1
but omg mummy bought me ice-cream!,1
@awaisnaseer followed your bro @Junni_Vet,0
if you cant hide the tweetie icon why not change it   http://twitpic.com/4j92o,0
"@andrewagarcia That's what's up hah. I'm great, thanks  Just waiting for all the craziness to take off.",1
Realizing that I don't have school today... or tomorrow... or for the next few months.  I really need to get on those job applications!,0
@niuts14 Our weekend was also great... two friends of Julia were here for four days...,1
I'm excited for the things for Jay's room to arrive,1
@abstractg @grendel @tigertigercb woohoo! I got the Sunbeam Cafï¿½ Series grinder at Eu Foods for only $198! Epic win,0
@MrRvM ruilen?,0
really really wants to go and see Coraline.,1
"@pixelbase @steverumsby I care about Eurovision! And yes, they have a 50% jury-based vote this year  #eurovision2009",1
"12:46AM. HAppy birthday little sister of mine. Also, good night Priscilla",1
"@ShalG  aaah k..am like a fan incarnated,so kinda like a mutant. till date, Ghalib has never *yet* left my questions unanswered",0
because he @the_real_nash wants to be an honorary Filipino  i'll follow him now ;)) thanks @daxvelando!,1
looking forward to coffee and driving tomorrow. really,1
"@mgorbach They actually use standard speaker wire between them too, with standard terminals, so no soldering involved or anything.",1
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,0
@stealthgear indeed,0
and we're back in buisiness,0
@Emmmaa___ haha was it good? i bet it was,1
Heading out to do a relay in the Belfast marathon,0
@marlooz Clever girl,1
mmm  eating tostitos &amp;&amp; piknik with spinach dip from S&amp;R. &lt;3,0
Cuba trip booked,0
"@psymon_spark heheh.  Odd though, I thought a couple of the others I'd done were better",0
@puerhan Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
"making mashed potatoes, and vegies to go with @JoelyRighteous's t-bone steak for when he gets home",0
"just signed up..so, hello twitter world, here I am",0
Oops that would be #edaust09,-1
"@chainsawchelsea If it's any consolation, you're definitely one of the hottest GG's, IMHO",1
@issaleuterio did you watch it?,0
right guys i have to go,0
@khali_blache Night! Doze well.,0
"@unclelarko not sure I like this way to learn a new language  I prefer to be &quot;on location&quot;, so I can practice, ask Qs and get answers",0
@jp1983 Ahhh Lincoln...i'll run..see you in 2 hours,0
forgot about my old twitter account please follow itsjeff i will stop this account soon...i prefer the address that doesnt have my age,0
@ work.. This week some new instrumentals.. stay updated,0
Today celebrating two new people becoming australian citizens. I am hoping for a good dinner.,1
is back from TAFE and has bowling in about an hour,0
"http://twitpic.com/4j95z - I don't know why, but I LOLd.",0
@srhmae i think 30 bucks and i dunno,0
@merdujapon Really all that? I'll look for it and will report back,0
"@shaskins too early ,,, I'll spill my corn flakes",0
@Somaya_Reece naw missed it and the video cool looking sexy,1
"@monnie Not really, injured so can't do much exercise. The KG's are coming on already. Also still looking to rent some place!!  Fun times!",1
#todo Cleaning the Apartment - again - who keeps making this mess? oh yeah .. me. $10 + hug for the person to help come clean,0
Prom was awesome.,1
good to have a (boy)friend like you,1
Joey's getting a new lizard... This should be fun  x,1
working the graveyard shift!,0
@Maxwell5587 wow. hehehe. mushy-mushy mode.,1
9100 tweets....just living the rockstar life one tweet at a time.,0
@dayBdayPolaroid @theteganandsara follow?,0
@maxiec Hope the train remembers the way - they can go a bit loopy on bank holidays,-1
possessed beyond certainty that she has made the rite decision,1
@taaaschi It's driving you insane? Really? It's Sterling Knight playing Chad Dylan Cooper on Sonny With A Chance,0
"@TerriCook  Well I hope you have had a good weekend and even more so have a good day at work 2moro its already monday here,so far so good",1
"@RealBillBailey good moring mr bailey, it is my birthday today",1
i likee you  a lott lott .  think you really hot hot (8) good night,1
Seen the doctor today. Everything was fine! Might go for ultrasound scan just as a precaution,1
@RobKardashian Hi Rob!,0
just got back from rachael's house,0
likes the reports from testers of his new package for Synology diskstations  http://plurk.com/p/ror5d,1
Bruno arghhhh i cant wait,-1
spending a 'girly' day wif my four big sisters! shopping. pedicures and dyeing eachother's hair. ohh yeah,0
@johna404 Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
"@katrin_l unfortunately not.my work ties me down 4 the whole summer.but if there's a eu-tour this fall,I'll be there!  I want a rebound",0
based on the similarity between &quot;May the 4th be with you&quot; and &quot;May the force be with you&quot; today it's the &quot;Star Wars Day&quot;,0
@ELLISNYC we should all be down to earth. don't none of us walk on water  I'm just some horny nerd trying to find my way thru life lol,0
@Abbie12 Thanks! Welcome back!,1
"@roel247 Thank you good sir, it has been a surprisingly good afternoon, very productive",1
@Ryanimay Welcome home!  Glad you made it home safe!,1
"i finished new moon  in 1 day all up. maybe less, im quite proud, now who wants to lend me eclipse haha",0
Ay dios mio! 2 weeks left of college!!! AH CAN'T WAIT!!,0
@mileycyrus i dnt think i can ever get tired of&quot;The Climb&quot;its just 1 of those sngs u'll always remember  ...,0
the best things in life are free  x,1
@eltonmcmanus  &amp; to you matey,0
"I go to &quot;User Experience Roundtable Hamburg - Detlev Fischer on Accessibility, BITV Test&quot; https://www.xing.com/events/333622 Don't miss!",0
"@rezadubsteppa Yeah man, been a while since I heard you spittin'.",0
@lightgood Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
"I have been called by my friend the bed. It is time to acknowledge the inevitable.  Goodnight All, Hello Sleep",0
@ben_grubb Sweet... my friend Kevin is joining us (but I have his #). Look 4 the girl carrying a backpack &amp; boulder pad.,0
now we are cuddling.  girl cuddles are so fun and soft,1
@RaptheRenegade all good! Take a rest,1
"@machfairy dont be gloomy...go out and get urself ice-cream.or gin,whichever",1
@chkndoodie no need to thank  we all just have to keep the good thought!,0
"@woopow8 Hi, what are you a consultant for?",0
Watching Dr. Horrible with @Bobwieck. @jenhansen don't be mad!,0
@WOMADABUDHABI  glad you liked it-  he's done loads of arrangements but that was the only one i could find on blip,1
@mcosare FIL 461 with cool people like me,1
"@JRulz Hello James, who are you",0
"@18_2 Hey, Thanks 4 The Advice &amp; Support",1
@Gailporter morning to u,0
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss'd!,1
@ryanodonnell Can't you guys do something on CO-OP about Grim Fandango? Don't you wanna see it on XBLA/PSN? Call Tony Plana!  Call Tim!!,0
http://twitpic.com/4j99z - a gift from my boyfriend... this little guy keeps me company at night,0
"@BlakeLewis Oh, I see!  So it's like, morning there, right? Happy breakfast! *thumbs up*",1
Hello  Back to work today after a week of vacation !,0
@AgesTheGreat tell him ill beat him up if he doesnt share,-1
@marygrrl aww  loves you! way too cute ;),1
Got back from helping my sis with stuff for my niece's 1st birthday. I saw a PSP/DS lite car charger in Toy Kingdom SM for only P250!!,0
"@coliwilso  not much blipping lately, but i'll get onto that for you.",0
is gonna have an irish wedding,0
@mistressmia And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!,1
STEP 1: be a photoshop expert  http://plurk.com/p/ros47,0
@beltranm hello  I'm up late playing on the internet. I love you!,1
Just finished studying for Abnormal Psychology. Eek. I still have two more days. I'll do more than fine,-1
toodaayy!,0
"@JennaMadison Ooh, coffee!  Great idea...  want one??",1
lol thats the highlight,1
@DavidArchie Touch My Hand video = simply amazing.  Love it.,1
@atlteabagged ur not blind  i was just browsing &amp; saw ur tweet &amp; figured i could answer ur query plus i wanted to know too,0
@ehasselbeck braving the standby line @ TheView bright &amp; early today!! hope to hear about your book &amp; hope I get in! 3rd time's the charm,1
"I know what would make me really tired, put me to sleep and I would sleep good!  ...RICE!!! Lmao!",1
@ZopflieseJule F...you very very much  willkommen im Twitterland,0
@jnacool I dont understand sensex..but wow!,0
"@Broooooke_ omg and you never would believe what we did. ahaha, i loved it. but it felt like a movie, but REAL!!",1
@dominicalevina Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
@djinfrared Sounds pretty cool. Great job man!,1
"took mr timothy for a run, he's quite fast if i hold up his bottom",0
Have a huge block of snack chocolate here. Tis calling my name already,0
@xxJessica94xx Hey what's up? My name is Caleb and I'm your newest follower!!!,0
@jasonhoun Haha of course! That's my favorite album of all time,1
"LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art",-1
@Strabismus Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
@Editorables Haha.. Hey you should check out @NatHistoryWhale  Love her/his tweets,1
@LadyAnne525 It will give me lulz from time to time.,0
"@nagatep grabe, norms. i researched; dami pala flamenco forms and sub-forms. kaloka!  i attempted a Solea. kaloka ang 12-beat!",0
@EMarketingGuru Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
Hey @deangeloredman Mia!! Go to bed!!    (deangeloredman live &gt; http://ustre.am/2NlC),0
Had a gr8 Sunday relaxing enjoying the beautiful weather. Good nite,1
Late news then it's off for some much needed zzzzzzz.......Goodnight Tweets.,1
@sdweathers Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
@deepbluesealove Yeah it was great to be outside without rain/snow &amp; cold air! Love the sunny days,1
"If any one is looking for @pembrokedave he is now at @PembsDave  (And if you don't know him yet, follow him anyways, good guy)",1
@thakkar I knw maan! i was gonna say the same thing. We both would become omelettes and others would become chapathis,0
@TheEngTeacher I did for years and then moved over to an IBM compatible.  Would love to have both on my desk!   Can you call me a techie?,1
@RomeBadBoyEnt,0
@Felitherandom Ohmygosh. I KNOW. That would make my night for SURE. lol.  Goodnight!,1
"Do you have a chronic illness blog? Let me know, I'll post your link on my own  www.ptsici.blogspot.com",0
@Kat77 Don't ever turn off the part of your brain that talks crap! That's where fun comes from,1
@QuestCon That gave me a great smile. Nice way to end the day. You are so right,1
lovely night of steve-o and family guy. off to bed.,1
@longnu Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
"1 AM &amp; time for bed, nite all",0
"@feedmecupcakes I just wanted to say, that you have the best screen name ever. That is all.",1
I still want a Smartcar!!! Don't they have the most wonderful designs ever?,1
loves her some worship papers. and had a fantastic day. the Lord is good. and constantly surprises me.,1
"Ah, the bank holiday shift at work. What fun",-1
"@Aquilaquail Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",1
"@clarissa61190 and if you want to leaveeeee I can guranteee, you won't find nobody, else like meeee",-1
@madisonSAYWHAT yeah I imagine you did,0
@_cassian is there a game   !,0
@blogviet Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
"@HOTTVampChick Excellent, he will never know, lmao.",1
Wrapped up some html/java work now spending the night dabbling in some flash intros,0
night night dollies  you are al so amazing,1
"i'm gonna eat some chips??!! anybody, want some??? hahaha!",1
"Finished watching Episode 4&amp;5 of Ruby Metaprogramming Screencasts. Lots of cool tips, great! But need to more coding practices to master.",1
@adambusch So the man behind the awesome Macarena vid. Great work. Love it.,1
"@DonnieWahlberg so wish I was there with ya, but at 6:48am Belgian time I was sleeping...time diff sucks. Take me there!",-1
1 more day!,0
